parameterType,parameterType & Tube#,,,Tube/Filter#,MULakeNumber,Depth,Date,Time,beginDepth,endDepth,Replicate,unit,parameterValue,Rerun?,still too high?,waterBody,samplingSite,parameterValueQCCodeDesc
SECCHI,,,,,021,,2024-08-13,10:38:00 AM,,,,m,2.86,,,Goose_Creek,Goose Creek 1,
SECCHI,,,,,021,,2024-08-13,10:38:00 AM,,,,m,2.74,,,Goose_Creek,Goose Creek 1,
SECCHI,,,,,030,,2024-06-07,8:44:00 AM,,,,m,1.14,,,Wappapello,Wappapello 1,
SECCHI,,,,,030,,2024-06-07,8:44:00 AM,,,,m,1.00,,,Wappapello,Wappapello 1,
SECCHI,,,,,030,,2024-06-28,2:40:00 PM,,,,m,0.50,,,Wappapello,Wappapello 1,
SECCHI,,,,,030,,2024-06-28,2:40:00 PM,,,,m,0.35,,,Wappapello,Wappapello 1,
SECCHI,,,,,030,,2024-07-24,7:45:00 AM,,,,m,0.63,,,Wappapello,Wappapello 1,
SECCHI,,,,,030,,2024-07-24,7:45:00 AM,,,,m,0.58,,,Wappapello,Wappapello 1,
SECCHI,,,,,030,,2024-08-14,7:41:00 AM,,,,m,0.55,,,Wappapello,Wappapello 1,
SECCHI,,,,,030,,2024-08-14,7:41:00 AM,,,,m,0.48,,,Wappapello,Wappapello 1,
SECCHI,,,,,036,,2024-06-07,11:35:00 AM,,,,m,1.85,,,Clearwater,Clearwater 1,
SECCHI,,,,,036,,2024-06-07,11:35:00 AM,,,,m,1.72,,,Clearwater,Clearwater 1,
SECCHI,,,,,036,,2024-06-26,9:37:00 AM,,,,m,1.12,,,Clearwater,Clearwater 1,
SECCHI,,,,,036,,2024-06-26,9:37:00 AM,,,,m,1.00,,,Clearwater,Clearwater 1,
SECCHI,,,,,036,,2024-07-24,9:54:00 AM,,,,m,1.99,,,Clearwater,Clearwater 1,
SECCHI,,,,,036,,2024-07-24,9:54:00 AM,,,,m,1.89,,,Clearwater,Clearwater 1,
SECCHI,,,,,036,,2024-08-14,9:41:00 AM,,,,m,1.35,,,Clearwater,Clearwater 1,
SECCHI,,,,,036,,2024-08-14,9:41:00 AM,,,,m,1.29,,,Clearwater,Clearwater 1,
SECCHI,,,,,039,,2024-06-07,3:22:00 PM,,,,m,4.95,,,Council_Bluff,Council Bluff 1,
SECCHI,,,,,039,,2024-06-07,3:22:00 PM,,,,m,4.88,,,Council_Bluff,Council Bluff 1,
SECCHI,,,,,039,,2024-06-26,1:19:00 PM,,,,m,3.50,,,Council_Bluff,Council Bluff 1,
SECCHI,,,,,039,,2024-06-26,1:19:00 PM,,,,m,3.29,,,Council_Bluff,Council Bluff 1,
SECCHI,,,,,039,,2024-07-26,9:09:00 AM,,,,m,4.85,,,Council_Bluff,Council Bluff 1,
SECCHI,,,,,039,,2024-07-26,9:09:00 AM,,,,m,4.70,,,Council_Bluff,Council Bluff 1,
SECCHI,,,,,039,,2024-08-14,12:45:00 PM,,,,m,3.53,,,Council_Bluff,Council Bluff 1,
SECCHI,,,,,039,,2024-08-14,12:45:00 PM,,,,m,3.41,,,Council_Bluff,Council Bluff 1,
SECCHI,,,,,046,,2024-06-13,11:22:00 PM,,,,m,0.62,,,Thomas_Hill,Thomas Hill 1,
SECCHI,,,,,046,,2024-06-13,11:22:00 PM,,,,m,0.47,,,Thomas_Hill,Thomas Hill 1,
SECCHI,,,,,046,,2024-07-17,10:07:00 AM,,,,m,0.70,,,Thomas_Hill,Thomas Hill 1,
SECCHI,,,,,046,,2024-07-17,10:07:00 AM,,,,m,0.63,,,Thomas_Hill,Thomas Hill 1,
SECCHI,,,,,046,,2024-08-05,10:51:00 AM,,,,m,0.92,,,Thomas_Hill,Thomas Hill 1,
SECCHI,,,,,046,,2024-08-05,10:51:00 AM,,,,m,0.87,,,Thomas_Hill,Thomas Hill 1,
SECCHI,,,,,046,,2024-08-22,12:44:00 PM,,,,m,0.80,,,Thomas_Hill,Thomas Hill 1,
SECCHI,,,,,046,,2024-08-22,12:44:00 PM,,,,m,0.70,,,Thomas_Hill,Thomas Hill 1,
SECCHI,,,,,048,,2024-05-22,4:55:00 PM,,,,m,0.43,,,Long_Branch,Long Branch 1,
SECCHI,,,,,048,,2024-05-22,4:55:00 PM,,,,m,0.37,,,Long_Branch,Long Branch 1,
SECCHI,,,,,048,,2024-06-12,4:10:00 PM,,,,m,0.69,,,Long_Branch,Long Branch 1,
SECCHI,,,,,048,,2024-06-12,4:10:00 PM,,,,m,0.60,,,Long_Branch,Long Branch 1,
SECCHI,,,,,048,,2024-07-10,4:26:00 PM,,,,m,0.78,,,Long_Branch,Long Branch 1,
SECCHI,,,,,048,,2024-07-10,4:26:00 PM,,,,m,0.69,,,Long_Branch,Long Branch 1,
SECCHI,,,,,048,,2024-07-31,3:25:00 PM,,,,m,0.75,,,Long_Branch,Long Branch 1,
SECCHI,,,,,048,,2024-07-31,3:25:00 PM,,,,m,0.67,,,Long_Branch,Long Branch 1,
SECCHI,,,,,049,,2024-06-05,10:10:00 AM,,,,m,0.77,,,Macon,Macon 1,
SECCHI,,,,,049,,2024-06-05,10:10:00 AM,,,,m,0.67,,,Macon,Macon 1,
SECCHI,,,,,049,,2024-06-24,9:29:00 AM,,,,m,0.64,,,Macon,Macon 1,
SECCHI,,,,,049,,2024-06-24,9:29:00 AM,,,,m,0.54,,,Macon,Macon 1,
SECCHI,,,,,049,,2024-07-22,9:47:00 AM,,,,m,0.33,,,Macon,Macon 1,
SECCHI,,,,,049,,2024-07-22,9:47:00 AM,,,,m,0.28,,,Macon,Macon 1,
SECCHI,,,,,049,,2024-08-07,4:26:00 PM,,,,m,0.45,,,Macon,Macon 1,
SECCHI,,,,,049,,2024-08-07,4:26:00 PM,,,,m,0.44,,,Macon,Macon 1,
SECCHI,,,,,053,,2024-05-22,9:45:00 AM,,,,m,0.49,,,Memphis_City,Memphis City 1,
SECCHI,,,,,053,,2024-05-22,9:45:00 AM,,,,m,0.43,,,Memphis_City,Memphis City 1,
SECCHI,,,,,053,,2024-06-12,9:19:00 AM,,,,m,0.44,,,Memphis_City,Memphis City 1,
SECCHI,,,,,053,,2024-06-12,9:19:00 AM,,,,m,0.38,,,Memphis_City,Memphis City 1,
SECCHI,,,,,053,,2024-07-10,9:57:00 AM,,,,m,0.45,,,Memphis_City,Memphis City 1,
SECCHI,,,,,053,,2024-07-10,9:57:00 AM,,,,m,0.40,,,Memphis_City,Memphis City 1,
SECCHI,,,,,053,,2024-07-31,8:39:00 AM,,,,m,0.44,,,Memphis_City,Memphis City 1,
SECCHI,,,,,053,,2024-07-31,8:39:00 AM,,,,m,0.38,,,Memphis_City,Memphis City 1,
SECCHI,,,,,057,,2024-05-22,1:24:00 PM,,,,m,1.07,,,Deer_Ridge,Deer Ridge 1,
SECCHI,,,,,057,,2024-05-22,1:24:00 PM,,,,m,1.00,,,Deer_Ridge,Deer Ridge 1,
SECCHI,,,,,057,,2024-06-12,12:49:00 PM,,,,m,1.76,,,Deer_Ridge,Deer Ridge 1,
SECCHI,,,,,057,,2024-06-12,12:49:00 PM,,,,m,1.70,,,Deer_Ridge,Deer Ridge 1,
SECCHI,,,,,057,,2024-07-10,1:15:00 PM,,,,m,1.61,,,Deer_Ridge,Deer Ridge 1,
SECCHI,,,,,057,,2024-07-10,1:15:00 PM,,,,m,1.55,,,Deer_Ridge,Deer Ridge 1,
SECCHI,,,,,057,,2024-07-31,12:09:00 AM,,,,m,1.42,,,Deer_Ridge,Deer Ridge 1,
SECCHI,,,,,057,,2024-07-31,12:09:00 AM,,,,m,1.32,,,Deer_Ridge,Deer Ridge 1,
SECCHI,,,,,070,,2024-05-29,7:50:00 AM,,,,m,0.61,,,North,North 1,
SECCHI,,,,,070,,2024-05-29,7:50:00 AM,,,,m,0.53,,,North,North 1,
SECCHI,,,,,070,,2024-06-19,7:37:00 AM,,,,m,0.43,,,North,North 1,
SECCHI,,,,,070,,2024-06-19,7:37:00 AM,,,,m,0.38,,,North,North 1,
SECCHI,,,,,070,,2024-07-16,7:35:00 AM,,,,m,0.39,,,North,North 1,
SECCHI,,,,,070,,2024-07-16,7:35:00 AM,,,,m,0.33,,,North,North 1,
SECCHI,,,,,070,,2024-08-06,7:59:00 AM,,,,m,0.38,,,North,North 1,
SECCHI,,,,,070,,2024-08-06,7:59:00 AM,,,,m,0.34,,,North,North 1,
SECCHI,,,,,072,,2024-07-09,12:07:00 PM,,,,m,0.80,,,Smithville,Smithville 1,
SECCHI,,,,,072,,2024-07-09,12:07:00 PM,,,,m,0.74,,,Smithville,Smithville 1,
SECCHI,,,,,072,,2024-08-06,12:46:00 PM,,,,m,0.88,,,Smithville,Smithville 1,
SECCHI,,,,,072,,2024-08-06,12:46:00 PM,,,,m,0.84,,,Smithville,Smithville 1,
SECCHI,,,,,072,,2024-08-20,2:49:00 PM,,,,m,0.75,,,Smithville,Smithville 1,
SECCHI,,,,,072,,2024-08-20,2:49:00 PM,,,,m,0.65,,,Smithville,Smithville 1,
SECCHI,,,,,072,,2024-09-12,2:26:00 PM,,,,m,0.75,,,Smithville,Smithville 1,
SECCHI,,,,,072,,2024-09-12,2:26:00 PM,,,,m,0.60,,,Smithville,Smithville 1,
SECCHI,,,,,074,,2024-05-30,8:00:00 AM,,,,m,1.05,,,Watkins_Mill,Watkins Mill 1,
SECCHI,,,,,074,,2024-05-30,8:00:00 AM,,,,m,1.01,,,Watkins_Mill,Watkins Mill 1,
SECCHI,,,,,074,,2024-06-20,8:02:00 AM,,,,m,0.85,,,Watkins_Mill,Watkins Mill 1,
SECCHI,,,,,074,,2024-06-20,8:02:00 AM,,,,m,0.82,,,Watkins_Mill,Watkins Mill 1,
SECCHI,,,,,074,,2024-07-17,7:50:00 AM,,,,m,0.76,,,Watkins_Mill,Watkins Mill 1,
SECCHI,,,,,074,,2024-07-17,7:50:00 AM,,,,m,0.68,,,Watkins_Mill,Watkins Mill 1,
SECCHI,,,,,074,,2024-08-07,8:27:00 AM,,,,m,0.58,,,Watkins_Mill,Watkins Mill 1,
SECCHI,,,,,074,,2024-08-07,8:27:00 AM,,,,m,0.53,,,Watkins_Mill,Watkins Mill 1,
SECCHI,,,,,078,,2024-06-20,11:39:00 AM,,,,m,0.51,,,Hamilton_City,Hamilton City 1,
SECCHI,,,,,078,,2024-06-20,11:39:00 AM,,,,m,0.45,,,Hamilton_City,Hamilton City 1,
SECCHI,,,,,078,,2024-07-17,12:03:00 PM,,,,m,0.50,,,Hamilton_City,Hamilton City 1,
SECCHI,,,,,078,,2024-07-17,12:03:00 PM,,,,m,0.46,,,Hamilton_City,Hamilton City 1,
SECCHI,,,,,078,,2024-08-07,12:10:00 PM,,,,m,0.55,,,Hamilton_City,Hamilton City 1,
SECCHI,,,,,078,,2024-08-07,12:10:00 PM,,,,m,0.49,,,Hamilton_City,Hamilton City 1,
SECCHI,,,,,078,,2024-08-28,1:47:00 PM,,,,m,0.75,,,Hamilton_City,Hamilton City 1,
SECCHI,,,,,078,,2024-08-28,1:47:00 PM,,,,m,0.60,,,Hamilton_City,Hamilton City 1,
SECCHI,,,,,081,,2024-05-30,9:53:00 AM,,,,m,0.62,,,Pony_Express,Pony Express 1,
SECCHI,,,,,081,,2024-05-30,9:53:00 AM,,,,m,0.56,,,Pony_Express,Pony Express 1,
SECCHI,,,,,081,,2024-06-20,9:04:00 AM,,,,m,0.72,,,Pony_Express,Pony Express 1,
SECCHI,,,,,081,,2024-06-20,9:04:00 AM,,,,m,0.68,,,Pony_Express,Pony Express 1,
SECCHI,,,,,081,,2024-07-17,9:43:00 AM,,,,m,0.54,,,Pony_Express,Pony Express 1,
SECCHI,,,,,081,,2024-07-17,9:43:00 AM,,,,m,0.48,,,Pony_Express,Pony Express 1,
SECCHI,,,,,081,,2024-08-07,10:07:00 AM,,,,m,0.54,,,Pony_Express,Pony Express 1,
SECCHI,,,,,081,,2024-08-07,10:07:00 AM,,,,m,0.48,,,Pony_Express,Pony Express 1,
SECCHI,,,,,087,,2024-05-30,1:57:00 PM,,,,m,0.76,,,Brookfield,Brookfield 1,
SECCHI,,,,,087,,2024-05-30,1:57:00 PM,,,,m,0.70,,,Brookfield,Brookfield 1,
SECCHI,,,,,087,,2024-06-20,3:12:00 PM,,,,m,0.82,,,Brookfield,Brookfield 1,
SECCHI,,,,,087,,2024-06-20,3:12:00 PM,,,,m,0.71,,,Brookfield,Brookfield 1,
SECCHI,,,,,087,,2024-07-17,3:25:00 PM,,,,m,0.90,,,Brookfield,Brookfield 1,
SECCHI,,,,,087,,2024-07-17,3:25:00 PM,,,,m,0.83,,,Brookfield,Brookfield 1,
SECCHI,,,,,087,,2024-08-07,3:07:00 PM,,,,m,1.17,,,Brookfield,Brookfield 1,
SECCHI,,,,,087,,2024-08-07,3:07:00 PM,,,,m,1.08,,,Brookfield,Brookfield 1,
SECCHI,,,,,088,,2024-05-15,12:43:00 PM,,,,m,0.77,,,Marceline_South,Marceline (South) 1,
SECCHI,,,,,088,,2024-05-15,12:43:00 PM,,,,m,0.64,,,Marceline_South,Marceline (South) 1,
SECCHI,,,,,088,,2024-06-28,11:10:00 AM,,,,m,0.94,,,Marceline_South,Marceline (South) 1,
SECCHI,,,,,088,,2024-06-28,11:10:00 AM,,,,m,0.78,,,Marceline_South,Marceline (South) 1,
SECCHI,,,,,088,,2024-07-22,11:31:00 AM,,,,m,0.84,,,Marceline_South,Marceline (South) 1,
SECCHI,,,,,088,,2024-07-22,11:31:00 AM,,,,m,0.65,,,Marceline_South,Marceline (South) 1,
SECCHI,,,,,088,,2024-08-13,10:26:00 AM,,,,m,0.74,,,Marceline_South,Marceline (South) 1,
SECCHI,,,,,088,,2024-08-13,10:26:00 AM,,,,m,NA,,,Marceline_South,Marceline (South) 1,
SECCHI,,,,,088,,2024-09-10,4:48:00 PM,,,,m,0.76,,,Marceline_South,Marceline (South) 1,
SECCHI,,,,,088,,2024-09-10,4:48:00 PM,,,,m,0.72,,,Marceline_South,Marceline (South) 1,
SECCHI,,,,,089,,2024-07-10,4:43:00 PM,,,,m,0.92,,,Truman,Truman 1,
SECCHI,,,,,089,,2024-07-10,4:43:00 PM,,,,m,0.70,,,Truman,Truman 1,
SECCHI,,,,,089,,2024-07-30,2:28:00 PM,,,,m,1.10,,,Truman,Truman 1,
SECCHI,,,,,089,,2024-07-30,2:28:00 PM,,,,m,1.07,,,Truman,Truman 1,
SECCHI,,,,,089,,2024-08-08,10:43:00 AM,,,,m,1.09,,,Truman,Truman 1,
SECCHI,,,,,089,,2024-08-08,10:43:00 AM,,,,m,1.02,,,Truman,Truman 1,
SECCHI,,,,,089,,2024-08-21,12:44:00 PM,,,,m,1.15,,,Truman,Truman 1,
SECCHI,,,,,089,,2024-08-21,12:44:00 PM,,,,m,1.05,,,Truman,Truman 1,
SECCHI,,,,,089,,2024-08-27,5:50:00 PM,,,,m,0.98,,,Truman,Truman 1,
SECCHI,,,,,089,,2024-08-27,5:50:00 PM,,,,m,0.88,,,Truman,Truman 1,
SECCHI,,,,,089,,2024-09-11,12:18:00 PM,,,,m,0.90,,,Truman,Truman 1,
SECCHI,,,,,089,,2024-09-11,12:18:00 PM,,,,m,0.78,,,Truman,Truman 1,
SECCHI,,,,,091,,2024-05-28,6:07:00 PM,,,,m,0.39,,,Atkinson,Atkinson 1,
SECCHI,,,,,091,,2024-05-28,6:07:00 PM,,,,m,0.36,,,Atkinson,Atkinson 1,
SECCHI,,,,,091,,2024-06-18,5:33:00 PM,,,,m,0.51,,,Atkinson,Atkinson 1,
SECCHI,,,,,091,,2024-06-18,5:33:00 PM,,,,m,0.45,,,Atkinson,Atkinson 1,
SECCHI,,,,,091,,2024-07-15,5:54:00 PM,,,,m,0.49,,,Atkinson,Atkinson 1,
SECCHI,,,,,091,,2024-07-15,5:54:00 PM,,,,m,0.42,,,Atkinson,Atkinson 1,
SECCHI,,,,,091,,2024-08-05,5:39:00 PM,,,,m,0.45,,,Atkinson,Atkinson 1,
SECCHI,,,,,091,,2024-08-05,5:39:00 PM,,,,m,0.40,,,Atkinson,Atkinson 1,
SECCHI,,,,,092,,2024-05-28,12:47:00 PM,,,,m,1.40,,,Pomme_De_Terre,Pomme de Terre 1,
SECCHI,,,,,092,,2024-05-28,12:47:00 PM,,,,m,1.28,,,Pomme_De_Terre,Pomme de Terre 1,
SECCHI,,,,,092,,2024-06-27,10:50:00 AM,,,,m,1.40,,,Pomme_De_Terre,Pomme de Terre 1,
SECCHI,,,,,092,,2024-06-27,10:50:00 AM,,,,m,1.20,,,Pomme_De_Terre,Pomme de Terre 1,
SECCHI,,,,,092,,2024-07-15,12:52:00 PM,,,,m,1.19,,,Pomme_De_Terre,Pomme de Terre 1,
SECCHI,,,,,092,,2024-07-15,12:52:00 PM,,,,m,1.03,,,Pomme_De_Terre,Pomme de Terre 1,
SECCHI,,,,,092,,2024-08-05,12:29:00 PM,,,,m,1.08,,,Pomme_De_Terre,Pomme de Terre 1,
SECCHI,,,,,092,,2024-08-05,12:29:00 PM,,,,m,0.97,,,Pomme_De_Terre,Pomme de Terre 1,
SECCHI,,,,,093,,2024-07-16,12:20:00 PM,,,,m,2.40,,,Stockton,Stockton 1,
SECCHI,,,,,093,,2024-07-16,12:20:00 PM,,,,m,2.28,,,Stockton,Stockton 1,
SECCHI,,,,,093,,2024-08-07,1:34:00 PM,,,,m,1.60,,,Stockton,Stockton 1,
SECCHI,,,,,093,,2024-08-07,1:34:00 PM,,,,m,1.55,,,Stockton,Stockton 1,
SECCHI,,,,,093,,2024-08-27,2:37:00 PM,,,,m,1.35,,,Stockton,Stockton 1,
SECCHI,,,,,093,,2024-08-27,2:37:00 PM,,,,m,1.28,,,Stockton,Stockton 1,
SECCHI,,,,,093,,2024-09-03,2:35:00 PM,,,,m,1.95,,,Stockton,Stockton 1,
SECCHI,,,,,093,,2024-09-03,2:35:00 PM,,,,m,1.84,,,Stockton,Stockton 1,
SECCHI,,,,,096,,2024-05-28,3:12:00 PM,,,,m,1.51,,,Fellows,Fellows 1,
SECCHI,,,,,096,,2024-05-28,3:12:00 PM,,,,m,1.38,,,Fellows,Fellows 1,
SECCHI,,,,,096,,2024-06-18,3:04:00 PM,,,,m,1.10,,,Fellows,Fellows 1,
SECCHI,,,,,096,,2024-06-18,3:04:00 PM,,,,m,0.97,,,Fellows,Fellows 1,
SECCHI,,,,,096,,2024-07-15,3:22:00 PM,,,,m,1.31,,,Fellows,Fellows 1,
SECCHI,,,,,096,,2024-07-15,3:22:00 PM,,,,m,1.16,,,Fellows,Fellows 1,
SECCHI,,,,,096,,2024-08-05,2:57:00 PM,,,,m,1.47,,,Fellows,Fellows 1,
SECCHI,,,,,096,,2024-08-05,2:57:00 PM,,,,m,1.34,,,Fellows,Fellows 1,
SECCHI,,,,,098,,2024-05-23,1:51:00 PM,,,,m,2.04,,,Table_Rock,Table Rock 1,
SECCHI,,,,,098,,2024-05-23,1:51:00 PM,,,,m,1.68,,,Table_Rock,Table Rock 1,
SECCHI,,,,,098,,2024-06-27,6:50:00 AM,,,,m,3.00,,,Table_Rock,Table Rock 1,
SECCHI,,,,,098,,2024-06-27,6:50:00 AM,,,,m,2.70,,,Table_Rock,Table Rock 1,
SECCHI,,,,,098,,2024-06-27,7:45:00 AM,,,,m,2.90,,,Table_Rock,Table Rock 1,
SECCHI,,,,,098,,2024-06-27,7:45:00 AM,,,,m,2.78,,,Table_Rock,Table Rock 1,
SECCHI,,,,,098,,2024-07-24,12:58:00 PM,,,,m,1.85,,,Table_Rock,Table Rock 1,
SECCHI,,,,,098,,2024-07-24,12:58:00 PM,,,,m,1.49,,,Table_Rock,Table Rock 1,
SECCHI,,,,,098,,2024-09-24,9:54:00 AM,,,,m,1.70,,,Table_Rock,Table Rock 1,
SECCHI,,,,,098,,2024-09-24,9:54:00 AM,,,,m,1.20,,,Table_Rock,Table Rock 1,
SECCHI,,,,,110,,2024-06-07,6:34:00 PM,,,,m,1.50,,,Little_Prairie,Little Prairie 1,
SECCHI,,,,,110,,2024-06-07,6:34:00 PM,,,,m,1.41,,,Little_Prairie,Little Prairie 1,
SECCHI,,,,,110,,2024-06-26,4:07:00 PM,,,,m,1.14,,,Little_Prairie,Little Prairie 1,
SECCHI,,,,,110,,2024-06-26,4:07:00 PM,,,,m,1.04,,,Little_Prairie,Little Prairie 1,
SECCHI,,,,,110,,2024-07-24,3:39:00 PM,,,,m,1.80,,,Little_Prairie,Little Prairie 1,
SECCHI,,,,,110,,2024-07-24,3:39:00 PM,,,,m,1.69,,,Little_Prairie,Little Prairie 1,
SECCHI,,,,,110,,2024-08-14,3:17:00 PM,,,,m,1.92,,,Little_Prairie,Little Prairie 1,
SECCHI,,,,,110,,2024-08-14,3:17:00 PM,,,,m,1.82,,,Little_Prairie,Little Prairie 1,
SECCHI,,,,,112,,2024-06-06,2:41:00 PM,,,,m,3.08,,,Shayne,Shayne 1,
SECCHI,,,,,112,,2024-06-06,2:41:00 PM,,,,m,2.88,,,Shayne,Shayne 1,
SECCHI,,,,,112,,2024-06-25,2:57:00 PM,,,,m,3.80,,,Shayne,Shayne 1,
SECCHI,,,,,112,,2024-06-25,2:57:00 PM,,,,m,3.74,,,Shayne,Shayne 1,
SECCHI,,,,,112,,2024-07-23,2:27:00 PM,,,,m,4.64,,,Shayne,Shayne 1,
SECCHI,,,,,112,,2024-07-23,2:27:00 PM,,,,m,4.50,,,Shayne,Shayne 1,
SECCHI,,,,,112,,2024-08-13,1:18:00 PM,,,,m,4.36,,,Shayne,Shayne 1,
SECCHI,,,,,112,,2024-08-13,1:18:00 PM,,,,m,4.23,,,Shayne,Shayne 1,
SECCHI,,,,,112,,2024-09-05,2:40:00 PM,,,,m,5.65,,,Shayne,Shayne 1,
SECCHI,,,,,112,,2024-09-05,2:40:00 PM,,,,m,5.48,,,Shayne,Shayne 1,
SECCHI,,,,,114,,2024-05-22,2:52:00 PM,,,,m,0.66,,,Henry_Sever,Henry Sever 1,
SECCHI,,,,,114,,2024-05-22,2:52:00 PM,,,,m,0.57,,,Henry_Sever,Henry Sever 1,
SECCHI,,,,,114,,2024-06-12,2:19:00 PM,,,,m,0.70,,,Henry_Sever,Henry Sever 1,
SECCHI,,,,,114,,2024-06-12,2:19:00 PM,,,,m,0.61,,,Henry_Sever,Henry Sever 1,
